created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 00:00:02 UTC,334803,135.00,0.00,0.89,0.00,0.00
2017-06-30 00:01:07 UTC,334804,180.00,0.00,0.89,0.00,0.00
2017-06-30 00:02:12 UTC,334805,135.00,0.00,0.89,0.00,0.00
2017-06-30 00:03:18 UTC,334806,135.00,0.00,0.00,0.00,0.00
2017-06-30 00:04:23 UTC,334807,45.00,0.00,0.00,0.00,0.00
2017-06-30 00:05:28 UTC,334808,90.00,0.00,0.00,0.00,0.00
2017-06-30 00:06:34 UTC,334809,315.00,0.00,0.00,0.00,0.00
2017-06-30 00:07:39 UTC,334810,180.00,0.00,0.00,0.00,0.00
2017-06-30 00:08:44 UTC,334811,180.00,0.00,0.00,0.00,0.00
2017-06-30 00:09:49 UTC,334812,225.00,0.00,0.00,0.00,0.00
2017-06-30 00:10:55 UTC,334813,135.00,0.00,0.00,0.00,0.00
2017-06-30 00:12:00 UTC,334814,180.00,0.00,0.00,0.00,0.00
2017-06-30 00:13:05 UTC,334815,45.00,0.00,0.00,0.00,0.00
2017-06-30 00:14:10 UTC,334816,0.00,0.00,0.00,0.00,0.00
2017-06-30 00:15:16 UTC,334817,0.00,0.00,0.45,0.00,0.00
2017-06-30 00:16:21 UTC,334818,225.00,0.00,0.45,0.00,0.00
2017-06-30 00:17:26 UTC,334819,135.00,0.00,0.45,0.00,0.00
2017-06-30 00:18:32 UTC,334820,90.00,0.00,0.45,0.00,0.00
2017-06-30 00:19:37 UTC,334821,45.00,0.00,0.45,0.00,0.00
2017-06-30 00:20:42 UTC,334822,90.00,0.00,0.00,0.00,0.00
2017-06-30 00:21:47 UTC,334823,90.00,0.00,0.00,0.00,0.00
2017-06-30 00:22:53 UTC,334824,180.00,0.00,0.00,0.00,0.00
2017-06-30 00:23:58 UTC,334825,180.00,0.00,0.00,0.00,0.00
2017-06-30 00:25:03 UTC,334826,135.00,0.00,0.89,0.00,0.00
2017-06-30 00:26:09 UTC,334827,180.00,0.00,0.89,0.00,0.00
2017-06-30 00:27:14 UTC,334828,180.00,0.45,0.89,0.00,0.00
2017-06-30 00:28:19 UTC,334829,45.00,0.00,0.89,0.00,0.00
2017-06-30 00:29:24 UTC,334830,225.00,0.00,0.89,0.00,0.00
2017-06-30 00:30:30 UTC,334831,0.00,0.00,0.89,0.00,0.00
2017-06-30 00:31:35 UTC,334832,45.00,0.00,0.89,0.00,0.00
2017-06-30 00:32:40 UTC,334833,135.00,0.00,0.45,0.00,0.00
2017-06-30 00:33:45 UTC,334834,45.00,0.00,0.45,0.00,0.00
2017-06-30 00:34:50 UTC,334835,180.00,0.00,0.45,0.00,0.00
2017-06-30 00:35:56 UTC,334836,45.00,0.00,0.45,0.00,0.00
2017-06-30 00:37:01 UTC,334837,180.00,0.00,0.45,0.00,0.00
2017-06-30 00:39:12 UTC,334838,135.00,0.00,0.45,0.00,0.00
2017-06-30 00:40:17 UTC,334839,180.00,0.00,0.89,0.00,0.00
2017-06-30 00:41:22 UTC,334840,180.00,0.00,0.89,0.00,0.00
2017-06-30 00:42:28 UTC,334841,45.00,0.00,0.89,0.00,0.00
2017-06-30 00:43:33 UTC,334842,0.00,0.00,0.89,0.00,0.00
2017-06-30 00:44:38 UTC,334843,0.00,0.00,0.89,0.00,0.00
2017-06-30 00:45:43 UTC,334844,180.00,0.00,0.89,0.00,0.00
2017-06-30 00:46:49 UTC,334845,180.00,0.00,0.89,0.00,0.00
